vehiculo,bloque_coste,categoria_coste,dimension_coste,partida,unidad,year,valor,valor_eur,unidad_estandarizada
vehículo articulado de carga general,costes unitarios,costes directos,costes por tiempo,seguros,eur/vehículo-km,2021,"0,0540",0.054,eur/vehículo-km
vehículo articulado de carga general,costes unitarios,costes directos,costes por tiempo,seguros,eur/vehículo-km,2022,"0,0545",0.0545,eur/vehículo-km
vehículo articulado de carga general,costes unitarios,costes directos,costes por tiempo,seguros,eur/vehículo-km,2023,"0,0563",0.0563,eur/vehículo-km
vehículo articulado de carga general,costes unitarios,costes directos,costes por tiempo,seguros,eur/vehículo-km,2024,"0,0609",0.0609,eur/vehículo-km
vehículo articulado de carga general,costes unitarios,costes directos,costes por tiempo,costes fiscales,eur/vehículo-km,2017,"0,0062",0.0062,eur/vehículo-km
vehículo articulado de carga general,costes unitarios,costes directos,costes por tiempo,costes fiscales,eur/vehículo-km,2018,"0,0063",0.0063,eur/vehículo-km
vehículo articulado de carga general,costes unitarios,costes directos,costes por tiempo,costes fiscales,eur/vehículo-km,2019,"0,0065",0.0065,eur/vehículo-km
vehículo articulado de carga general,costes unitarios,costes directos,costes por tiempo,costes fiscales,eur/vehículo-km,2020,"0,0064",0.0064,eur/vehículo-km
vehículo articulado de carga general,costes unitarios,costes directos,costes por tiempo,costes fiscales,eur/vehículo-km,2021,"0,0065",0.0065,eur/vehículo-km
vehículo articulado de carga general,costes unitarios,costes directos,costes por tiempo,costes fiscales,eur/vehículo-km,2022,"0,0069",0.0069,eur/vehículo-km
vehículo articulado de carga general,costes unitarios,costes directos,costes por tiempo,costes fiscales,eur/vehículo-km,2023,"0,0073",0.0073,eur/vehículo-km
vehículo articulado de carga general,costes unitarios,costes directos,costes por tiempo,costes fiscales,eur/vehículo-km,2024,"0,0075",0.0075,eur/vehículo-km
vehículo articulado de carga general,costes unitarios,costes directos,costes kilométricos,combustible,eur/vehículo-km,2017,"0,2895",0.2895,eur/vehículo-km
vehículo articulado de carga general,costes unitarios,costes directos,costes kilométricos,combustible,eur/vehículo-km,2018,"0,3200",0.32,eur/vehículo-km
vehículo articulado de carga general,costes unitarios,costes directos,costes kilométricos,combustible,eur/vehículo-km,2019,"0,3153",0.3153,eur/vehículo-km
vehículo articulado de carga general,costes unitarios,costes directos,costes kilométricos,combustible,eur/vehículo-km,2020,"0,2803",0.2803,eur/vehículo-km
vehículo articulado de carga general,costes unitarios,costes directos,costes kilométricos,combustible,eur/vehículo-km,2021,"0,3202",0.3202,eur/vehículo-km
vehículo articulado de carga general,costes unitarios,costes directos,costes kilométricos,combustible,eur/vehículo-km,2022,"0,4796",0.4796,eur/vehículo-km
vehículo articulado de carga general,costes unitarios,costes directos,costes kilométricos,combustible,eur/vehículo-km,2023,"0,4208",0.4208,eur/vehículo-km
vehículo articulado de carga general,costes unitarios,costes directos,costes kilométricos,combustible,eur/vehículo-km,2024,"0,3915",0.3915,eur/vehículo-km
