year,ccaa,tipo,subtipo,mercancia,ton-km
2017,cantabria,transporte internacional,recibido,minerales y residuos para refundición,16990000.0
2017,cantabria,transporte internacional,recibido,minerales en bruto o manufacturados y materiales de construcción,44990000.0
2017,cantabria,transporte internacional,recibido,productos químicos,54930000.0
2017,cantabria,transporte internacional,recibido,"máquinas, vehículos, objetos manufacturados y transacciones especiales",155400000.0
2017,castilla - la mancha,transporte intrarregional,intramunicipal,productos agrícolas y animales vivos,9630000.0
2017,castilla - la mancha,transporte intrarregional,intramunicipal,productos alimenticios y forrajes,10360000.0
2017,castilla - la mancha,transporte intrarregional,intramunicipal,productos petrolíferos,2540000.0
2017,castilla - la mancha,transporte intrarregional,intramunicipal,minerales y residuos para refundición,40000.0
2017,castilla - la mancha,transporte intrarregional,intramunicipal,productos metalúrgicos,490000.0
2017,castilla - la mancha,transporte intrarregional,intramunicipal,minerales en bruto o manufacturados y materiales de construcción,24690000.0
2017,castilla - la mancha,transporte intrarregional,intramunicipal,abonos,3150000.0
2017,castilla - la mancha,transporte intrarregional,intramunicipal,productos químicos,720000.0
2017,castilla - la mancha,transporte intrarregional,intramunicipal,"máquinas, vehículos, objetos manufacturados y transacciones especiales",3850000.0
2017,castilla - la mancha,transporte intrarregional,intermunicipal intrarregional,productos agrícolas y animales vivos,380380000.0
2017,castilla - la mancha,transporte intrarregional,intermunicipal intrarregional,productos alimenticios y forrajes,1049620000.0
2017,castilla - la mancha,transporte intrarregional,intermunicipal intrarregional,combustibles minerales sólidos,3860000.0
2017,castilla - la mancha,transporte intrarregional,intermunicipal intrarregional,productos petrolíferos,73790000.0
2017,castilla - la mancha,transporte intrarregional,intermunicipal intrarregional,minerales y residuos para refundición,12940000.0
2017,castilla - la mancha,transporte intrarregional,intermunicipal intrarregional,productos metalúrgicos,27770000.0
2017,castilla - la mancha,transporte intrarregional,intermunicipal intrarregional,minerales en bruto o manufacturados y materiales de construcción,419260000.0
2017,castilla - la mancha,transporte intrarregional,intermunicipal intrarregional,abonos,110320000.0
2017,castilla - la mancha,transporte intrarregional,intermunicipal intrarregional,productos químicos,31830000.0
2017,castilla - la mancha,transporte intrarregional,intermunicipal intrarregional,"máquinas, vehículos, objetos manufacturados y transacciones especiales",341360000.0
2017,castilla - la mancha,transporte interregional,expedido,productos agrícolas y animales vivos,1538580000.0
2017,castilla - la mancha,transporte interregional,expedido,productos alimenticios y forrajes,3724690000.0
2017,castilla - la mancha,transporte interregional,expedido,combustibles minerales sólidos,118100000.0
2017,castilla - la mancha,transporte interregional,expedido,productos petrolíferos,361600000.0
2017,castilla - la mancha,transporte interregional,expedido,minerales y residuos para refundición,116720000.0
2017,castilla - la mancha,transporte interregional,expedido,productos metalúrgicos,93070000.0
2017,castilla - la mancha,transporte interregional,expedido,minerales en bruto o manufacturados y materiales de construcción,1360350000.0
2017,castilla - la mancha,transporte interregional,expedido,abonos,269640000.0
2017,castilla - la mancha,transporte interregional,expedido,productos químicos,498040000.0
2017,castilla - la mancha,transporte interregional,expedido,"máquinas, vehículos, objetos manufacturados y transacciones especiales",2416740000.0
2017,castilla - la mancha,transporte interregional,recibido,productos agrícolas y animales vivos,1099640000.0
2017,castilla - la mancha,transporte interregional,recibido,productos alimenticios y forrajes,2698820000.0
2017,castilla - la mancha,transporte interregional,recibido,combustibles minerales sólidos,26160000.0
2017,castilla - la mancha,transporte interregional,recibido,productos petrolíferos,235070000.0
2017,castilla - la mancha,transporte interregional,recibido,minerales y residuos para refundición,40600000.0
2017,castilla - la mancha,transporte interregional,recibido,productos metalúrgicos,384510000.0
2017,castilla - la mancha,transporte interregional,recibido,minerales en bruto o manufacturados y materiales de construcción,816940000.0
2017,castilla - la mancha,transporte interregional,recibido,abonos,355230000.0
2017,castilla - la mancha,transporte interregional,recibido,productos químicos,565120000.0
2017,castilla - la mancha,transporte interregional,recibido,"máquinas, vehículos, objetos manufacturados y transacciones especiales",2356460000.0
2017,castilla - la mancha,transporte internacional,expedido,productos agrícolas y animales vivos,171580000.0
2017,castilla - la mancha,transporte internacional,expedido,productos alimenticios y forrajes,661130000.0
2017,castilla - la mancha,transporte internacional,expedido,productos petrolíferos,57710000.0
2017,castilla - la mancha,transporte internacional,expedido,productos metalúrgicos,141820000.0
2017,castilla - la mancha,transporte internacional,expedido,minerales en bruto o manufacturados y materiales de construcción,12050000.0
2017,castilla - la mancha,transporte internacional,expedido,abonos,60550000.0
2017,castilla - la mancha,transporte internacional,expedido,productos químicos,37370000.0
2017,castilla - la mancha,transporte internacional,expedido,"máquinas, vehículos, objetos manufacturados y transacciones especiales",373120000.0
2017,castilla - la mancha,transporte internacional,recibido,productos agrícolas y animales vivos,155440000.0
