year,comunidad,tipo_transporte,tipo_desplazamiento,tipo_mercancia,unidad,valor
2017,"asturias, principado de",transporte intrarregional,intramunicipal,productos agrícolas y animales vivos,millones de toneladas-kilómetro,5.62
2017,"asturias, principado de",transporte intrarregional,intramunicipal,productos alimenticios y forrajes,millones de toneladas-kilómetro,6.33
2017,"asturias, principado de",transporte intrarregional,intramunicipal,combustibles minerales sólidos,millones de toneladas-kilómetro,5.89
2017,"asturias, principado de",transporte intrarregional,intramunicipal,productos petrolíferos,millones de toneladas-kilómetro,1.21
2017,"asturias, principado de",transporte intrarregional,intramunicipal,minerales y residuos para refundición,millones de toneladas-kilómetro,14.1
2017,"asturias, principado de",transporte intrarregional,intramunicipal,productos metalúrgicos,millones de toneladas-kilómetro,4.94
2017,"asturias, principado de",transporte intrarregional,intramunicipal,minerales en bruto o manufacturados y materiales de construcción,millones de toneladas-kilómetro,55.23
2017,"asturias, principado de",transporte intrarregional,intramunicipal,abonos,millones de toneladas-kilómetro,0.12
2017,"asturias, principado de",transporte intrarregional,intramunicipal,productos químicos,millones de toneladas-kilómetro,0.57
2017,"asturias, principado de",transporte intrarregional,intramunicipal,"máquinas, vehículos, objetos manufacturados y transacciones especiales",millones de toneladas-kilómetro,3.81
2017,"asturias, principado de",transporte intrarregional,intermunicipal intrarregional,productos agrícolas y animales vivos,millones de toneladas-kilómetro,92.28
2017,"asturias, principado de",transporte intrarregional,intermunicipal intrarregional,productos alimenticios y forrajes,millones de toneladas-kilómetro,98.11
2017,"asturias, principado de",transporte intrarregional,intermunicipal intrarregional,combustibles minerales sólidos,millones de toneladas-kilómetro,74.57
2017,"asturias, principado de",transporte intrarregional,intermunicipal intrarregional,productos petrolíferos,millones de toneladas-kilómetro,47.56
2017,"asturias, principado de",transporte intrarregional,intermunicipal intrarregional,minerales y residuos para refundición,millones de toneladas-kilómetro,42.42
2017,"asturias, principado de",transporte intrarregional,intermunicipal intrarregional,productos metalúrgicos,millones de toneladas-kilómetro,32.0
2017,"asturias, principado de",transporte intrarregional,intermunicipal intrarregional,minerales en bruto o manufacturados y materiales de construcción,millones de toneladas-kilómetro,192.26
2017,"asturias, principado de",transporte intrarregional,intermunicipal intrarregional,abonos,millones de toneladas-kilómetro,6.04
2017,"asturias, principado de",transporte intrarregional,intermunicipal intrarregional,productos químicos,millones de toneladas-kilómetro,24.33
2017,"asturias, principado de",transporte intrarregional,intermunicipal intrarregional,"máquinas, vehículos, objetos manufacturados y transacciones especiales",millones de toneladas-kilómetro,56.54
