vehiculo,year,partida,coste_partida_eur_km,coste_total_eur_km,pct_partida
portavehículos (tren de carretera),2017,amortización del vehículo,0.1426,1.1949,0.11934053058833374
portavehículos (tren de carretera),2017,combustible,0.3308,1.1949,0.2768432504812118
portavehículos (tren de carretera),2017,consumo de disolución de urea,0.0156,1.1949,0.013055485814712527
portavehículos (tren de carretera),2017,costes fiscales,0.0064,1.1949,0.0053560967444974475
portavehículos (tren de carretera),2017,dietas,0.1364,1.1949,0.11415181186710184
portavehículos (tren de carretera),2017,financiación del vehículo,0.0229,1.1949,0.01916478366390493
portavehículos (tren de carretera),2017,mantenimiento,0.0479,1.1949,0.04008703657209808
portavehículos (tren de carretera),2017,nan,0.0729,1.1949,0.06100928948029124
portavehículos (tren de carretera),2017,neumáticos,0.041,1.1949,0.03431249476943677
portavehículos (tren de carretera),2017,peajes,0.0151,1.1949,0.012637040756548664
portavehículos (tren de carretera),2017,personal de conducción - salarios,0.2323,1.1949,0.19440957402293077
portavehículos (tren de carretera),2017,reparaciones,0.0392,1.1949,0.032806092560046865
portavehículos (tren de carretera),2017,seguros,0.0918,1.1949,0.07682651267888527
portavehículos (tren de carretera),2018,amortización del vehículo,0.1442,1.2434,0.11597233392311403
portavehículos (tren de carretera),2018,combustible,0.3658,1.2434,0.2941933408396333
portavehículos (tren de carretera),2018,consumo de disolución de urea,0.0159,1.2434,0.012787518095544475
portavehículos (tren de carretera),2018,costes fiscales,0.0065,1.2434,0.005227601737172269
portavehículos (tren de carretera),2018,dietas,0.1391,1.2434,0.11187067717548657
portavehículos (tren de carretera),2018,financiación del vehículo,0.0208,1.2434,0.016728325558951262
portavehículos (tren de carretera),2018,mantenimiento,0.0487,1.2434,0.03916680070773685
portavehículos (tren de carretera),2018,nan,0.0759,1.2434,0.06104230336175003
portavehículos (tren de carretera),2018,neumáticos,0.0412,1.2434,0.03313495254946115
portavehículos (tren de carretera),2018,peajes,0.0154,1.2434,0.012385394884992762
portavehículos (tren de carretera),2018,personal de conducción - salarios,0.2367,1.2434,0.19036512787518095
portavehículos (tren de carretera),2018,reparaciones,0.0399,1.2434,0.032089432202026695
portavehículos (tren de carretera),2018,seguros,0.0933,1.2434,0.07503619108894964
portavehículos (tren de carretera),2019,amortización del vehículo,0.1454,1.2503,0.11629208989842438
portavehículos (tren de carretera),2019,combustible,0.3603,1.2503,0.2881708389986403
portavehículos (tren de carretera),2019,consumo de disolución de urea,0.0162,1.2503,0.012956890346316884
portavehículos (tren de carretera),2019,costes fiscales,0.0067,1.2503,0.005358713908661921
portavehículos (tren de carretera),2019,dietas,0.1412,1.2503,0.11293289610493482
portavehículos (tren de carretera),2019,financiación del vehículo,0.0219,1.2503,0.017515796208909862
portavehículos (tren de carretera),2019,mantenimiento,0.0495,1.2503,0.0395904982804127
portavehículos (tren de carretera),2019,nan,0.0763,1.2503,0.06102535391506039
portavehículos (tren de carretera),2019,neumáticos,0.0409,1.2503,0.03271214908421979
portavehículos (tren de carretera),2019,peajes,0.0156,1.2503,0.012477005518675517
portavehículos (tren de carretera),2019,personal de conducción - salarios,0.2404,1.2503,0.192273854274974
portavehículos (tren de carretera),2019,reparaciones,0.0405,1.2503,0.03239222586579221
portavehículos (tren de carretera),2019,seguros,0.0954,1.2503,0.07630168759497721
portavehículos (tren de carretera),2020,amortización del vehículo,0.1467,1.216,0.12064144736842106
portavehículos (tren de carretera),2020,combustible,0.3204,1.216,0.2634868421052632
portavehículos (tren de carretera),2020,consumo de disolución de urea,0.0164,1.216,0.01348684210526316
portavehículos (tren de carretera),2020,costes fiscales,0.0066,1.216,0.005427631578947369
portavehículos (tren de carretera),2020,dietas,0.1432,1.216,0.11776315789473683
portavehículos (tren de carretera),2020,financiación del vehículo,0.0206,1.216,0.01694078947368421
portavehículos (tren de carretera),2020,mantenimiento,0.0503,1.216,0.04136513157894737
portavehículos (tren de carretera),2020,nan,0.0742,1.216,0.061019736842105265
