year,comunidad,tipo_transporte,tipo_desplazamiento,tipo_mercancia,unidad,valor,valor_toneladas
2017,cantabria,transporte internacional,expedido,productos agrícolas y animales vivos,miles de toneladas,52.7,52700.0
2017,cantabria,transporte internacional,expedido,productos alimenticios y forrajes,miles de toneladas,57.5,57500.0
2017,cantabria,transporte internacional,expedido,productos metalúrgicos,miles de toneladas,137.96,137960.0
2017,cantabria,transporte internacional,expedido,minerales en bruto o manufacturados y materiales de construcción,miles de toneladas,218.26,218260.0
2017,cantabria,transporte internacional,expedido,productos químicos,miles de toneladas,83.41,83410.0
2017,cantabria,transporte internacional,expedido,"máquinas, vehículos, objetos manufacturados y transacciones especiales",miles de toneladas,169.99,169990.0
2017,cantabria,transporte internacional,recibido,productos agrícolas y animales vivos,miles de toneladas,130.68,130680.0
2017,cantabria,transporte internacional,recibido,productos alimenticios y forrajes,miles de toneladas,14.3,14300.0
2017,cantabria,transporte internacional,recibido,minerales y residuos para refundición,miles de toneladas,14.98,14980.0
2017,cantabria,transporte internacional,recibido,minerales en bruto o manufacturados y materiales de construcción,miles de toneladas,26.86,26860.0
2017,cantabria,transporte internacional,recibido,productos químicos,miles de toneladas,87.71,87710.0
2017,cantabria,transporte internacional,recibido,"máquinas, vehículos, objetos manufacturados y transacciones especiales",miles de toneladas,114.19,114190.0
2017,castilla - la mancha,transporte intrarregional,intramunicipal,productos agrícolas y animales vivos,miles de toneladas,794.57,794570.0
2017,castilla - la mancha,transporte intrarregional,intramunicipal,productos alimenticios y forrajes,miles de toneladas,2139.79,2139790.0
2017,castilla - la mancha,transporte intrarregional,intramunicipal,productos petrolíferos,miles de toneladas,166.14,166140.0
2017,castilla - la mancha,transporte intrarregional,intramunicipal,minerales y residuos para refundición,miles de toneladas,22.73,22730.0
2017,castilla - la mancha,transporte intrarregional,intramunicipal,productos metalúrgicos,miles de toneladas,47.33,47330.0
2017,castilla - la mancha,transporte intrarregional,intramunicipal,minerales en bruto o manufacturados y materiales de construcción,miles de toneladas,4437.57,4437570.0
2017,castilla - la mancha,transporte intrarregional,intramunicipal,abonos,miles de toneladas,433.85,433850.0
2017,castilla - la mancha,transporte intrarregional,intramunicipal,productos químicos,miles de toneladas,71.48,71480.0
2017,castilla - la mancha,transporte intrarregional,intramunicipal,"máquinas, vehículos, objetos manufacturados y transacciones especiales",miles de toneladas,558.57,558570.0
2017,castilla - la mancha,transporte intrarregional,intermunicipal intrarregional,productos agrícolas y animales vivos,miles de toneladas,4391.88,4391880.0
2017,castilla - la mancha,transporte intrarregional,intermunicipal intrarregional,productos alimenticios y forrajes,miles de toneladas,9693.21,9693210.0
2017,castilla - la mancha,transporte intrarregional,intermunicipal intrarregional,combustibles minerales sólidos,miles de toneladas,14.79,14790.0
2017,castilla - la mancha,transporte intrarregional,intermunicipal intrarregional,productos petrolíferos,miles de toneladas,1134.33,1134330.0
2017,castilla - la mancha,transporte intrarregional,intermunicipal intrarregional,minerales y residuos para refundición,miles de toneladas,140.61,140610.0
2017,castilla - la mancha,transporte intrarregional,intermunicipal intrarregional,productos metalúrgicos,miles de toneladas,323.94,323940.0
2017,castilla - la mancha,transporte intrarregional,intermunicipal intrarregional,minerales en bruto o manufacturados y materiales de construcción,miles de toneladas,10626.39,10626390.0
2017,castilla - la mancha,transporte intrarregional,intermunicipal intrarregional,abonos,miles de toneladas,1526.26,1526260.0
2017,castilla - la mancha,transporte intrarregional,intermunicipal intrarregional,productos químicos,miles de toneladas,345.16,345160.0
2017,castilla - la mancha,transporte intrarregional,intermunicipal intrarregional,"máquinas, vehículos, objetos manufacturados y transacciones especiales",miles de toneladas,4468.1,4468100.0
2017,castilla - la mancha,transporte interregional,expedido,productos agrícolas y animales vivos,miles de toneladas,6005.06,6005060.0
2017,castilla - la mancha,transporte interregional,expedido,productos alimenticios y forrajes,miles de toneladas,12433.73,12433730.0
2017,castilla - la mancha,transporte interregional,expedido,combustibles minerales sólidos,miles de toneladas,372.45,372450.0
2017,castilla - la mancha,transporte interregional,expedido,productos petrolíferos,miles de toneladas,1689.66,1689660.0
2017,castilla - la mancha,transporte interregional,expedido,minerales y residuos para refundición,miles de toneladas,455.56,455560.0
2017,castilla - la mancha,transporte interregional,expedido,productos metalúrgicos,miles de toneladas,327.08,327080.0
2017,castilla - la mancha,transporte interregional,expedido,minerales en bruto o manufacturados y materiales de construcción,miles de toneladas,8917.29,8917290.0
2017,castilla - la mancha,transporte interregional,expedido,abonos,miles de toneladas,1013.06,1013060.0
2017,castilla - la mancha,transporte interregional,expedido,productos químicos,miles de toneladas,1636.68,1636680.0
2017,castilla - la mancha,transporte interregional,expedido,"máquinas, vehículos, objetos manufacturados y transacciones especiales",miles de toneladas,8397.76,8397760.0
2017,castilla - la mancha,transporte interregional,recibido,productos agrícolas y animales vivos,miles de toneladas,3796.9,3796900.0
2017,castilla - la mancha,transporte interregional,recibido,productos alimenticios y forrajes,miles de toneladas,9584.88,9584880.0
2017,castilla - la mancha,transporte interregional,recibido,combustibles minerales sólidos,miles de toneladas,113.89,113890.0
2017,castilla - la mancha,transporte interregional,recibido,productos petrolíferos,miles de toneladas,1076.13,1076130.0
2017,castilla - la mancha,transporte interregional,recibido,minerales y residuos para refundición,miles de toneladas,137.72,137720.0
2017,castilla - la mancha,transporte interregional,recibido,productos metalúrgicos,miles de toneladas,990.92,990920.0
2017,castilla - la mancha,transporte interregional,recibido,minerales en bruto o manufacturados y materiales de construcción,miles de toneladas,4588.58,4588580.0
