Año,CCAA,Ámbito,Categoría,Tipo Mercancía,Ton-Km(millones),Toneladas(miles)
2017,"Asturias, Principado de",Interregional,Recibido,Productos Metalúrgicos,216.39,567.96
2017,"Asturias, Principado de",Interregional,Recibido,Minerales En Bruto O Manufacturados Y Materiales De Construcción,307.33,1546.0
2017,"Asturias, Principado de",Interregional,Recibido,Abonos,8.0,60.17
2017,"Asturias, Principado de",Interregional,Recibido,Productos Químicos,148.46,481.4
2017,"Asturias, Principado de",Interregional,Recibido,"Máquinas, Vehículos, Objetos Manufacturados Y Transacciones Especiales",603.88,1255.82
2017,"Asturias, Principado de",Internacional,Expedido,Productos Alimenticios Y Forrajes,42.29,51.62
2017,"Asturias, Principado de",Internacional,Expedido,Combustibles Minerales Sólidos,55.68,44.43
2017,"Asturias, Principado de",Internacional,Expedido,Productos Metalúrgicos,259.17,209.69
2017,"Asturias, Principado de",Internacional,Expedido,Minerales En Bruto O Manufacturados Y Materiales De Construcción,6.1,4.84
2017,"Asturias, Principado de",Internacional,Expedido,Abonos,7.91,15.85
2017,"Asturias, Principado de",Internacional,Expedido,Productos Químicos,68.23,68.24
2017,"Asturias, Principado de",Internacional,Expedido,"Máquinas, Vehículos, Objetos Manufacturados Y Transacciones Especiales",99.17,92.67
2017,"Asturias, Principado de",Internacional,Recibido,Productos Agrícolas Y Animales Vivos,60.1,72.55
2017,"Asturias, Principado de",Internacional,Recibido,Productos Alimenticios Y Forrajes,140.17,128.88
2017,"Asturias, Principado de",Internacional,Recibido,Productos Metalúrgicos,55.06,35.23
2017,"Asturias, Principado de",Internacional,Recibido,Minerales En Bruto O Manufacturados Y Materiales De Construcción,20.49,18.36
2017,"Asturias, Principado de",Internacional,Recibido,Productos Químicos,94.03,102.22
2017,"Asturias, Principado de",Internacional,Recibido,"Máquinas, Vehículos, Objetos Manufacturados Y Transacciones Especiales",50.06,51.83
2017,Cantabria,Intrarregional,Intramunicipal,Productos Alimenticios Y Forrajes,1.07,165.09
2017,Cantabria,Intrarregional,Intramunicipal,Productos Petrolíferos,0.01,3.67
2017,Cantabria,Intrarregional,Intramunicipal,Minerales Y Residuos Para Refundición,3.53,415.46
2017,Cantabria,Intrarregional,Intramunicipal,Productos Metalúrgicos,1.0,430.88
2017,Cantabria,Intrarregional,Intramunicipal,Minerales En Bruto O Manufacturados Y Materiales De Construcción,2.55,578.0
2017,Cantabria,Intrarregional,Intramunicipal,"Máquinas, Vehículos, Objetos Manufacturados Y Transacciones Especiales",2.47,389.8
2017,Cantabria,Intrarregional,Intermunicipal,Productos Agrícolas Y Animales Vivos,19.34,477.62
2017,Cantabria,Intrarregional,Intermunicipal,Productos Alimenticios Y Forrajes,28.67,795.75
2017,Cantabria,Intrarregional,Intermunicipal,Productos Petrolíferos,16.78,377.97
2017,Cantabria,Intrarregional,Intermunicipal,Minerales Y Residuos Para Refundición,11.42,346.76
2017,Cantabria,Intrarregional,Intermunicipal,Productos Metalúrgicos,16.87,583.67
2017,Cantabria,Intrarregional,Intermunicipal,Minerales En Bruto O Manufacturados Y Materiales De Construcción,116.9,5593.47
2017,Cantabria,Intrarregional,Intermunicipal,Abonos,0.23,18.58
2017,Cantabria,Intrarregional,Intermunicipal,Productos Químicos,17.76,736.97
2017,Cantabria,Intrarregional,Intermunicipal,"Máquinas, Vehículos, Objetos Manufacturados Y Transacciones Especiales",32.51,979.09
2017,Cantabria,Interregional,Expedido,Productos Agrícolas Y Animales Vivos,176.01,698.6
2017,Cantabria,Interregional,Expedido,Productos Alimenticios Y Forrajes,529.64,1848.49
2017,Cantabria,Interregional,Expedido,Combustibles Minerales Sólidos,5.07,25.66
2017,Cantabria,Interregional,Expedido,Productos Petrolíferos,25.29,84.17
2017,Cantabria,Interregional,Expedido,Minerales Y Residuos Para Refundición,44.73,226.37
2017,Cantabria,Interregional,Expedido,Productos Metalúrgicos,197.31,575.23
2017,Cantabria,Interregional,Expedido,Minerales En Bruto O Manufacturados Y Materiales De Construcción,152.31,1264.62
2017,Cantabria,Interregional,Expedido,Abonos,89.75,342.45
2017,Cantabria,Interregional,Expedido,Productos Químicos,241.21,737.99
2017,Cantabria,Interregional,Expedido,"Máquinas, Vehículos, Objetos Manufacturados Y Transacciones Especiales",577.12,1612.59
2017,Cantabria,Interregional,Recibido,Productos Agrícolas Y Animales Vivos,117.25,368.01
2017,Cantabria,Interregional,Recibido,Productos Alimenticios Y Forrajes,554.46,1828.85
2017,Cantabria,Interregional,Recibido,Combustibles Minerales Sólidos,20.05,95.7
2017,Cantabria,Interregional,Recibido,Productos Petrolíferos,36.88,248.49
2017,Cantabria,Interregional,Recibido,Minerales Y Residuos Para Refundición,114.32,476.97
2017,Cantabria,Interregional,Recibido,Productos Metalúrgicos,108.62,498.71
2017,Cantabria,Interregional,Recibido,Minerales En Bruto O Manufacturados Y Materiales De Construcción,249.56,1819.21
2017,Cantabria,Interregional,Recibido,Abonos,8.97,13.47
2017,Cantabria,Interregional,Recibido,Productos Químicos,157.46,536.04
2017,Cantabria,Interregional,Recibido,"Máquinas, Vehículos, Objetos Manufacturados Y Transacciones Especiales",429.75,1493.16
2017,Cantabria,Internacional,Expedido,Productos Agrícolas Y Animales Vivos,49.81,52.7
2017,Cantabria,Internacional,Expedido,Productos Alimenticios Y Forrajes,57.6,57.5
2017,Cantabria,Internacional,Expedido,Productos Metalúrgicos,182.57,137.96
2017,Cantabria,Internacional,Expedido,Minerales En Bruto O Manufacturados Y Materiales De Construcción,109.59,218.26
2017,Cantabria,Internacional,Expedido,Productos Químicos,57.75,83.41
2017,Cantabria,Internacional,Expedido,"Máquinas, Vehículos, Objetos Manufacturados Y Transacciones Especiales",164.43,169.99
2017,Cantabria,Internacional,Recibido,Productos Agrícolas Y Animales Vivos,74.05,130.68
2017,Cantabria,Internacional,Recibido,Productos Alimenticios Y Forrajes,14.05,14.3
2017,Cantabria,Internacional,Recibido,Minerales Y Residuos Para Refundición,16.99,14.98
2017,Cantabria,Internacional,Recibido,Minerales En Bruto O Manufacturados Y Materiales De Construcción,44.99,26.86
2017,Cantabria,Internacional,Recibido,Productos Químicos,54.93,87.71
2017,Cantabria,Internacional,Recibido,"Máquinas, Vehículos, Objetos Manufacturados Y Transacciones Especiales",155.4,114.19
2017,Castilla - La Mancha,Intrarregional,Intramunicipal,Productos Agrícolas Y Animales Vivos,9.63,794.57
2017,Castilla - La Mancha,Intrarregional,Intramunicipal,Productos Alimenticios Y Forrajes,10.36,2139.79
2017,Castilla - La Mancha,Intrarregional,Intramunicipal,Productos Petrolíferos,2.54,166.14
2017,Castilla - La Mancha,Intrarregional,Intramunicipal,Minerales Y Residuos Para Refundición,0.04,22.73
2017,Castilla - La Mancha,Intrarregional,Intramunicipal,Productos Metalúrgicos,0.49,47.33
2017,Castilla - La Mancha,Intrarregional,Intramunicipal,Minerales En Bruto O Manufacturados Y Materiales De Construcción,24.69,4437.57
2017,Castilla - La Mancha,Intrarregional,Intramunicipal,Abonos,3.15,433.85
2017,Castilla - La Mancha,Intrarregional,Intramunicipal,Productos Químicos,0.72,71.48
2017,Castilla - La Mancha,Intrarregional,Intramunicipal,"Máquinas, Vehículos, Objetos Manufacturados Y Transacciones Especiales",3.85,558.57
2017,Castilla - La Mancha,Intrarregional,Intermunicipal,Productos Agrícolas Y Animales Vivos,380.38,4391.88
2017,Castilla - La Mancha,Intrarregional,Intermunicipal,Productos Alimenticios Y Forrajes,1049.62,9693.21
2017,Castilla - La Mancha,Intrarregional,Intermunicipal,Combustibles Minerales Sólidos,3.86,14.79
2017,Castilla - La Mancha,Intrarregional,Intermunicipal,Productos Petrolíferos,73.79,1134.33
2017,Castilla - La Mancha,Intrarregional,Intermunicipal,Minerales Y Residuos Para Refundición,12.94,140.61
2017,Castilla - La Mancha,Intrarregional,Intermunicipal,Productos Metalúrgicos,27.77,323.94
2017,Castilla - La Mancha,Intrarregional,Intermunicipal,Minerales En Bruto O Manufacturados Y Materiales De Construcción,419.26,10626.39
2017,Castilla - La Mancha,Intrarregional,Intermunicipal,Abonos,110.32,1526.26
2017,Castilla - La Mancha,Intrarregional,Intermunicipal,Productos Químicos,31.83,345.16
2017,Castilla - La Mancha,Intrarregional,Intermunicipal,"Máquinas, Vehículos, Objetos Manufacturados Y Transacciones Especiales",341.36,4468.1
2017,Castilla - La Mancha,Interregional,Expedido,Productos Agrícolas Y Animales Vivos,1538.58,6005.06
2017,Castilla - La Mancha,Interregional,Expedido,Productos Alimenticios Y Forrajes,3724.69,12433.73
2017,Castilla - La Mancha,Interregional,Expedido,Combustibles Minerales Sólidos,118.1,372.45
