Año,Vehículo,Categoría Costes,Subcategoría Costes,Tipo Costes,Costes Unitarios,Costes Anuales
2022,Articulado De Carga General En Transporte Internacional,Costes Directos,Por Tiempo(Vehiculo-Km),Financiación Vehículo,0.0245,3679.58
2023,Articulado De Carga General En Transporte Internacional,Costes Directos,Por Tiempo(Vehiculo-Km),Financiación Vehículo,0.041,6145.9
2024,Articulado De Carga General En Transporte Internacional,Costes Directos,Por Tiempo(Vehiculo-Km),Financiación Vehículo,0.0421,6314.28
2017,Articulado De Carga General En Transporte Internacional,Costes Directos,Por Tiempo(Vehiculo-Km),Salarios,0.2149,32228.15
2018,Articulado De Carga General En Transporte Internacional,Costes Directos,Por Tiempo(Vehiculo-Km),Salarios,0.219,32848.19
2019,Articulado De Carga General En Transporte Internacional,Costes Directos,Por Tiempo(Vehiculo-Km),Salarios,0.2224,33356.71
2020,Articulado De Carga General En Transporte Internacional,Costes Directos,Por Tiempo(Vehiculo-Km),Salarios,0.2254,33816.11
2021,Articulado De Carga General En Transporte Internacional,Costes Directos,Por Tiempo(Vehiculo-Km),Salarios,0.2297,34448.37
2022,Articulado De Carga General En Transporte Internacional,Costes Directos,Por Tiempo(Vehiculo-Km),Salarios,0.233,34943.94
2023,Articulado De Carga General En Transporte Internacional,Costes Directos,Por Tiempo(Vehiculo-Km),Salarios,0.2414,36203.01
2024,Articulado De Carga General En Transporte Internacional,Costes Directos,Por Tiempo(Vehiculo-Km),Salarios,0.2542,38129.74
2017,Articulado De Carga General En Transporte Internacional,Costes Directos,Por Tiempo(Vehiculo-Km),Seguros,0.0411,6170.4
2018,Articulado De Carga General En Transporte Internacional,Costes Directos,Por Tiempo(Vehiculo-Km),Seguros,0.0418,6270.75
2019,Articulado De Carga General En Transporte Internacional,Costes Directos,Por Tiempo(Vehiculo-Km),Seguros,0.0427,6410.47
2020,Articulado De Carga General En Transporte Internacional,Costes Directos,Por Tiempo(Vehiculo-Km),Seguros,0.0428,6422.47
2021,Articulado De Carga General En Transporte Internacional,Costes Directos,Por Tiempo(Vehiculo-Km),Seguros,0.0432,6477.75
2022,Articulado De Carga General En Transporte Internacional,Costes Directos,Por Tiempo(Vehiculo-Km),Seguros,0.0436,6539.96
2023,Articulado De Carga General En Transporte Internacional,Costes Directos,Por Tiempo(Vehiculo-Km),Seguros,0.045,6752.51
2024,Articulado De Carga General En Transporte Internacional,Costes Directos,Por Tiempo(Vehiculo-Km),Seguros,0.0488,7313.32
2017,Articulado De Carga General En Transporte Internacional,Costes Directos,Por Tiempo(Vehiculo-Km),Costes Fiscales,0.0052,772.63
2018,Articulado De Carga General En Transporte Internacional,Costes Directos,Por Tiempo(Vehiculo-Km),Costes Fiscales,0.0052,786.35
2019,Articulado De Carga General En Transporte Internacional,Costes Directos,Por Tiempo(Vehiculo-Km),Costes Fiscales,0.0053,800.04
2020,Articulado De Carga General En Transporte Internacional,Costes Directos,Por Tiempo(Vehiculo-Km),Costes Fiscales,0.0053,799.04
2021,Articulado De Carga General En Transporte Internacional,Costes Directos,Por Tiempo(Vehiculo-Km),Costes Fiscales,0.0054,804.95
2022,Articulado De Carga General En Transporte Internacional,Costes Directos,Por Tiempo(Vehiculo-Km),Costes Fiscales,0.0057,852.4
2023,Articulado De Carga General En Transporte Internacional,Costes Directos,Por Tiempo(Vehiculo-Km),Costes Fiscales,0.006,906.1
2024,Articulado De Carga General En Transporte Internacional,Costes Directos,Por Tiempo(Vehiculo-Km),Costes Fiscales,0.0062,933.85
2017,Articulado De Carga General En Transporte Internacional,Costes Directos,Por Km Recorridos(Vehículo-Km),Combustible,0.3152,47286.46
2018,Articulado De Carga General En Transporte Internacional,Costes Directos,Por Km Recorridos(Vehículo-Km),Combustible,0.3577,53655.72
2019,Articulado De Carga General En Transporte Internacional,Costes Directos,Por Km Recorridos(Vehículo-Km),Combustible,0.3545,53181.44
2020,Articulado De Carga General En Transporte Internacional,Costes Directos,Por Km Recorridos(Vehículo-Km),Combustible,0.3162,47437.26
2021,Articulado De Carga General En Transporte Internacional,Costes Directos,Por Km Recorridos(Vehículo-Km),Combustible,0.3553,53300.67
2022,Articulado De Carga General En Transporte Internacional,Costes Directos,Por Km Recorridos(Vehículo-Km),Combustible,0.4991,74861.66
2023,Articulado De Carga General En Transporte Internacional,Costes Directos,Por Km Recorridos(Vehículo-Km),Combustible,0.46,68993.66
2024,Articulado De Carga General En Transporte Internacional,Costes Directos,Por Km Recorridos(Vehículo-Km),Combustible,0.4362,65430.92
2017,Articulado De Carga General En Transporte Internacional,Costes Directos,Por Km Recorridos(Vehículo-Km),Disolución De Urea,0.0137,2048.38
2018,Articulado De Carga General En Transporte Internacional,Costes Directos,Por Km Recorridos(Vehículo-Km),Disolución De Urea,0.0139,2086.25
2019,Articulado De Carga General En Transporte Internacional,Costes Directos,Por Km Recorridos(Vehículo-Km),Disolución De Urea,0.0141,2120.13
2020,Articulado De Carga General En Transporte Internacional,Costes Directos,Por Km Recorridos(Vehículo-Km),Disolución De Urea,0.0144,2154.09
2021,Articulado De Carga General En Transporte Internacional,Costes Directos,Por Km Recorridos(Vehículo-Km),Disolución De Urea,0.0147,2201.49
2022,Articulado De Carga General En Transporte Internacional,Costes Directos,Por Km Recorridos(Vehículo-Km),Disolución De Urea,0.0152,2286.08
2023,Articulado De Carga General En Transporte Internacional,Costes Directos,Por Km Recorridos(Vehículo-Km),Disolución De Urea,0.0162,2430.59
2024,Articulado De Carga General En Transporte Internacional,Costes Directos,Por Km Recorridos(Vehículo-Km),Disolución De Urea,0.0169,2534.99
2017,Articulado De Carga General En Transporte Internacional,Costes Directos,Por Km Recorridos(Vehículo-Km),Neumáticos,0.045,6745.29
2018,Articulado De Carga General En Transporte Internacional,Costes Directos,Por Km Recorridos(Vehículo-Km),Neumáticos,0.0451,6770.61
2019,Articulado De Carga General En Transporte Internacional,Costes Directos,Por Km Recorridos(Vehículo-Km),Neumáticos,0.0449,6735.21
2020,Articulado De Carga General En Transporte Internacional,Costes Directos,Por Km Recorridos(Vehículo-Km),Neumáticos,0.0455,6828.15
2021,Articulado De Carga General En Transporte Internacional,Costes Directos,Por Km Recorridos(Vehículo-Km),Neumáticos,0.0464,6959.91
2022,Articulado De Carga General En Transporte Internacional,Costes Directos,Por Km Recorridos(Vehículo-Km),Neumáticos,0.0506,7586.88
2023,Articulado De Carga General En Transporte Internacional,Costes Directos,Por Km Recorridos(Vehículo-Km),Neumáticos,0.0556,8347.14
2024,Articulado De Carga General En Transporte Internacional,Costes Directos,Por Km Recorridos(Vehículo-Km),Neumáticos,0.0572,8577.12
2017,Articulado De Carga General En Transporte Internacional,Costes Directos,Por Km Recorridos(Vehículo-Km),Mantenimiento,0.0149,2234.44
2018,Articulado De Carga General En Transporte Internacional,Costes Directos,Por Km Recorridos(Vehículo-Km),Mantenimiento,0.0152,2275.76
2019,Articulado De Carga General En Transporte Internacional,Costes Directos,Por Km Recorridos(Vehículo-Km),Mantenimiento,0.0154,2312.7
2020,Articulado De Carga General En Transporte Internacional,Costes Directos,Por Km Recorridos(Vehículo-Km),Mantenimiento,0.0157,2349.79
2021,Articulado De Carga General En Transporte Internacional,Costes Directos,Por Km Recorridos(Vehículo-Km),Mantenimiento,0.016,2401.43
2022,Articulado De Carga General En Transporte Internacional,Costes Directos,Por Km Recorridos(Vehículo-Km),Mantenimiento,0.0166,2493.75
2023,Articulado De Carga General En Transporte Internacional,Costes Directos,Por Km Recorridos(Vehículo-Km),Mantenimiento,0.0177,2651.36
2024,Articulado De Carga General En Transporte Internacional,Costes Directos,Por Km Recorridos(Vehículo-Km),Mantenimiento,0.0184,2765.29
2017,Articulado De Carga General En Transporte Internacional,Costes Directos,Por Km Recorridos(Vehículo-Km),Reparaciones,0.0293,4398.6
2018,Articulado De Carga General En Transporte Internacional,Costes Directos,Por Km Recorridos(Vehículo-Km),Reparaciones,0.0299,4479.94
2019,Articulado De Carga General En Transporte Internacional,Costes Directos,Por Km Recorridos(Vehículo-Km),Reparaciones,0.0304,4552.73
2020,Articulado De Carga General En Transporte Internacional,Costes Directos,Por Km Recorridos(Vehículo-Km),Reparaciones,0.0308,4625.59
2021,Articulado De Carga General En Transporte Internacional,Costes Directos,Por Km Recorridos(Vehículo-Km),Reparaciones,0.0315,4727.36
2022,Articulado De Carga General En Transporte Internacional,Costes Directos,Por Km Recorridos(Vehículo-Km),Reparaciones,0.0327,4909.01
2023,Articulado De Carga General En Transporte Internacional,Costes Directos,Por Km Recorridos(Vehículo-Km),Reparaciones,0.0348,5219.36
2024,Articulado De Carga General En Transporte Internacional,Costes Directos,Por Km Recorridos(Vehículo-Km),Reparaciones,0.0363,5443.54
2017,Articulado De Carga General En Transporte Internacional,Costes Directos,Por Km Recorridos(Vehículo-Km),Dietas,0.1749,26241.14
2018,Articulado De Carga General En Transporte Internacional,Costes Directos,Por Km Recorridos(Vehículo-Km),Dietas,0.1783,26745.6
