area,pais,desplazamiento,año,ton-km(millones),toneladas(miles)
UE-27,Grecia,Expedido,2024,130.0,58.0
UE-27,Hungría,Recibido,2017,526.0,232.0
UE-27,Hungría,Recibido,2018,467.0,215.0
UE-27,Hungría,Recibido,2019,322.0,143.0
UE-27,Hungría,Recibido,2020,357.0,153.0
UE-27,Hungría,Recibido,2021,391.0,179.0
UE-27,Hungría,Recibido,2022,526.0,228.0
UE-27,Hungría,Recibido,2023,496.0,218.0
UE-27,Hungría,Recibido,2024,534.0,237.0
UE-27,Hungría,Expedido,2017,443.0,197.0
UE-27,Hungría,Expedido,2018,481.0,225.0
UE-27,Hungría,Expedido,2019,645.0,282.0
UE-27,Hungría,Expedido,2020,619.0,276.0
UE-27,Hungría,Expedido,2021,563.0,268.0
UE-27,Hungría,Expedido,2022,650.0,281.0
UE-27,Hungría,Expedido,2023,492.0,222.0
UE-27,Hungría,Expedido,2024,438.0,203.0
UE-27,Irlanda,Recibido,2017,64.0,34.0
UE-27,Irlanda,Recibido,2018,186.0,103.0
UE-27,Irlanda,Recibido,2019,108.0,68.0
UE-27,Irlanda,Recibido,2020,75.0,47.0
UE-27,Irlanda,Recibido,2021,34.0,20.0
UE-27,Irlanda,Recibido,2022,77.0,52.0
UE-27,Irlanda,Recibido,2023,101.0,60.0
UE-27,Irlanda,Recibido,2024,50.0,58.0
UE-27,Irlanda,Expedido,2017,84.0,49.0
UE-27,Irlanda,Expedido,2018,118.0,66.0
UE-27,Irlanda,Expedido,2019,77.0,41.0
UE-27,Irlanda,Expedido,2020,56.0,31.0
UE-27,Irlanda,Expedido,2021,55.0,31.0
UE-27,Irlanda,Expedido,2022,60.0,63.0
UE-27,Irlanda,Expedido,2023,116.0,58.0
UE-27,Irlanda,Expedido,2024,88.0,57.0
UE-27,Italia,Recibido,2017,4764.0,3533.0
UE-27,Italia,Recibido,2018,5338.0,3918.0
UE-27,Italia,Recibido,2019,4943.0,3615.0
UE-27,Italia,Recibido,2020,4389.0,3218.0
UE-27,Italia,Recibido,2021,5981.0,4364.0
UE-27,Italia,Recibido,2022,6322.0,4558.0
UE-27,Italia,Recibido,2023,5697.0,4211.0
UE-27,Italia,Recibido,2024,6313.0,4688.0
UE-27,Italia,Expedido,2017,5388.0,3853.0
UE-27,Italia,Expedido,2018,5935.0,4282.0
UE-27,Italia,Expedido,2019,5651.0,3929.0
UE-27,Italia,Expedido,2020,5465.0,3818.0
UE-27,Italia,Expedido,2021,6457.0,4628.0
UE-27,Italia,Expedido,2022,6727.0,4896.0
UE-27,Italia,Expedido,2023,6453.0,4653.0
UE-27,Italia,Expedido,2024,7548.0,5299.0
UE-27,Letonia,Recibido,2017,53.0,16.0
UE-27,Letonia,Recibido,2018,49.0,13.0
UE-27,Letonia,Recibido,2019,296.0,86.0
UE-27,Letonia,Recibido,2020,92.0,27.0
UE-27,Letonia,Recibido,2021,79.0,22.0
UE-27,Letonia,Recibido,2022,100.0,31.0
UE-27,Letonia,Recibido,2023,82.0,21.0
UE-27,Letonia,Recibido,2024,84.0,29.0
UE-27,Letonia,Expedido,2017,441.0,120.0
UE-27,Letonia,Expedido,2018,368.0,108.0
UE-27,Letonia,Expedido,2019,367.0,98.0
UE-27,Letonia,Expedido,2020,377.0,104.0
UE-27,Letonia,Expedido,2021,368.0,110.0
UE-27,Letonia,Expedido,2022,306.0,86.0
UE-27,Letonia,Expedido,2023,222.0,60.0
UE-27,Letonia,Expedido,2024,306.0,90.0
UE-27,Lituania,Recibido,2017,170.0,51.0
UE-27,Lituania,Recibido,2018,186.0,57.0
UE-27,Lituania,Recibido,2019,257.0,80.0
UE-27,Lituania,Recibido,2020,214.0,65.0
UE-27,Lituania,Recibido,2021,176.0,59.0
UE-27,Lituania,Recibido,2022,216.0,73.0
UE-27,Lituania,Recibido,2023,310.0,99.0
UE-27,Lituania,Recibido,2024,451.0,152.0
UE-27,Lituania,Expedido,2017,860.0,271.0
UE-27,Lituania,Expedido,2018,317.0,101.0
UE-27,Lituania,Expedido,2019,772.0,242.0
UE-27,Lituania,Expedido,2020,545.0,171.0
UE-27,Lituania,Expedido,2021,288.0,87.0
UE-27,Lituania,Expedido,2022,1002.0,312.0
UE-27,Lituania,Expedido,2023,537.0,182.0
UE-27,Lituania,Expedido,2024,313.0,101.0
UE-27,Luxemburgo,Recibido,2017,269.0,184.0
UE-27,Luxemburgo,Recibido,2018,109.0,80.0
