año,ccaa_origen,ccaa_destino,ton-km,toneladas
2018,"Rioja, La","Murcia, Región de",48.56,72.35
2018,"Rioja, La","Navarra, Comunidad Foral de",77.71,1171.9
2018,"Rioja, La",País Vasco,142.38,1357.56
2018,"Rioja, La","Rioja, La",147.58,5707.56
2019,Andalucía,Andalucía,11962.75,192155.19
2019,Andalucía,Aragón,549.33,672.74
2019,Andalucía,"Asturias, Principado de",69.05,77.54
2019,Andalucía,Cantabria,205.1,219.06
2019,Andalucía,Castilla - La Mancha,1304.51,3405.35
2019,Andalucía,Castilla y León,955.18,1417.05
2019,Andalucía,Cataluña,2391.26,2652.98
2019,Andalucía,Comunitat Valenciana,2800.83,5211.98
2019,Andalucía,Extremadura,1104.25,4580.12
2019,Andalucía,Galicia,448.27,487.53
2019,Andalucía,"Madrid, Comunidad de",1581.24,3137.05
2019,Andalucía,"Murcia, Región de",972.05,3645.81
2019,Andalucía,"Navarra, Comunidad Foral de",314.02,376.58
2019,Andalucía,País Vasco,497.73,548.41
2019,Andalucía,"Rioja, La",113.65,141.94
2019,Aragón,Andalucía,604.9,764.03
2019,Aragón,Aragón,1789.84,44863.46
2019,Aragón,"Asturias, Principado de",88.15,137.11
2019,Aragón,Cantabria,114.94,270.6
2019,Aragón,Castilla - La Mancha,432.39,1209.52
2019,Aragón,Castilla y León,581.53,1844.25
2019,Aragón,Cataluña,1963.32,8438.85
2019,Aragón,Comunitat Valenciana,1259.72,5059.24
2019,Aragón,Extremadura,54.42,74.93
2019,Aragón,Galicia,278.07,353.15
2019,Aragón,"Madrid, Comunidad de",758.6,2270.88
2019,Aragón,"Murcia, Región de",234.48,427.65
2019,Aragón,"Navarra, Comunidad Foral de",353.63,2374.33
2019,Aragón,País Vasco,517.09,1809.98
2019,Aragón,"Rioja, La",135.29,796.75
2019,"Asturias, Principado de",Andalucía,249.11,279.34
2019,"Asturias, Principado de",Aragón,181.25,301.38
2019,"Asturias, Principado de","Asturias, Principado de",773.98,28779.75
2019,"Asturias, Principado de",Cantabria,136.74,688.33
2019,"Asturias, Principado de",Castilla - La Mancha,181.52,313.24
2019,"Asturias, Principado de",Castilla y León,337.79,1396.94
2019,"Asturias, Principado de",Cataluña,303.34,344.07
2019,"Asturias, Principado de",Comunitat Valenciana,277.9,326.26
2019,"Asturias, Principado de",Extremadura,80.25,117.95
2019,"Asturias, Principado de",Galicia,406.46,2242.79
