Año,CCAA,Provincia,Tipo,Funcion,Superficie_m2
2017,"Asturias, Principado de",Asturias,Plataforma logística industria,Plat. log. industria material construcción,1300.0
2017,"Asturias, Principado de",Asturias,Plataforma logística industria,Plat. log. industria non food gran consumo,0.0
2017,"Asturias, Principado de",Asturias,Plataforma logística industria,Plat. log. industria / varios,63704.0
2017,"Asturias, Principado de",Asturias,Plataforma logística industria,Plat. log. temp. controlada ind. alimentaria,25500.0
2017,"Asturias, Principado de",Asturias,Plataforma mixta,Plataforma mixta,0.0
2017,"Asturias, Principado de",Asturias,Instalaciones especializadas,Frigorífico de servicios,5600.0
2017,"Asturias, Principado de",Asturias,Instalaciones especializadas,Almacén farmacéutico,26000.0
2017,"Asturias, Principado de",Asturias,Instalaciones especializadas,Plat. log. mercancías peligrosas,0.0
2017,"Asturias, Principado de",Asturias,Instalaciones especializadas,Plataforma automóvil,0.0
2017,"Asturias, Principado de",Asturias,Instalaciones especializadas,Plat. log. textil,0.0
2017,"Balears, Illes","Balears, Illes",Almacenes transporte,Almacén aduanas / fiscal,0.0
2017,"Balears, Illes","Balears, Illes",Almacenes transporte,Almacén paquetería,21436.0
2017,"Balears, Illes","Balears, Illes",Almacenes transporte,Almacén transportista,50992.0
2017,"Balears, Illes","Balears, Illes",Plataforma logística distribución,Plat. log. distribución base alimentaria,101456.0
2017,"Balears, Illes","Balears, Illes",Plataforma logística distribución,Plat. log. distribución droguería-perfumería,8000.0
2017,"Balears, Illes","Balears, Illes",Plataforma logística distribución,Plat. log. distribución electro / tecnológica,7700.0
2017,"Balears, Illes","Balears, Illes",Plataforma logística distribución,Plat. log. distribución sanitaria,0.0
2017,"Balears, Illes","Balears, Illes",Plataforma logística distribución,Plat. log. distribución material construcción,1000.0
2017,"Balears, Illes","Balears, Illes",Plataforma logística distribución,Plat. log. distribución non food,0.0
2017,"Balears, Illes","Balears, Illes",Plataforma logística distribución,Plat. log. distribución / varios,4150.0
2017,"Balears, Illes","Balears, Illes",Plataforma logística distribución,Plat. log. temp. controlada dis. alimentaria,10207.0
2017,"Balears, Illes","Balears, Illes",Plataforma logística distribución,Plat. log. e-commerce,0.0
2017,"Balears, Illes","Balears, Illes",Plataforma logística industria,Plat. log. industria alimentación y bebidas,10000.0
2017,"Balears, Illes","Balears, Illes",Plataforma logística industria,Plat. log. industria electro / tecnológica,1000.0
2017,"Balears, Illes","Balears, Illes",Plataforma logística industria,Plat. log. industria sanitaria,0.0
2017,"Balears, Illes","Balears, Illes",Plataforma logística industria,Plat. log. industria material construcción,0.0
2017,"Balears, Illes","Balears, Illes",Plataforma logística industria,Plat. log. industria non food gran consumo,0.0
2017,"Balears, Illes","Balears, Illes",Plataforma logística industria,Plat. log. industria / varios,30215.0
