año,comunidad_origen,comunidad_destino,valor
2018,Extremadura,"Madrid, Comunidad de",711.59
2018,Extremadura,"Murcia, Región de",153.02
2018,Extremadura,"Navarra, Comunidad Foral de",39.16
2018,Extremadura,País Vasco,173.02
2018,Extremadura,"Rioja, La",
2018,Galicia,Andalucía,887.15
2018,Galicia,Aragón,577.43
2018,Galicia,"Asturias, Principado de",5079.6
2018,Galicia,Cantabria,448.87
2018,Galicia,Castilla - La Mancha,924.24
2018,Galicia,Castilla y León,3550.08
2018,Galicia,Cataluña,808.05
2018,Galicia,Comunitat Valenciana,773.38
2018,Galicia,Extremadura,96.74
2018,Galicia,Galicia,74576.9
2018,Galicia,"Madrid, Comunidad de",1806.67
2018,Galicia,"Murcia, Región de",150.05
2018,Galicia,"Navarra, Comunidad Foral de",117.11
2018,Galicia,País Vasco,1190.23
2018,Galicia,"Rioja, La",83.67
2018,"Madrid, Comunidad de",Andalucía,3782.94
2018,"Madrid, Comunidad de",Aragón,1923.94
2018,"Madrid, Comunidad de","Asturias, Principado de",625.61
2018,"Madrid, Comunidad de",Cantabria,564.94
2018,"Madrid, Comunidad de",Castilla - La Mancha,10033.4
2018,"Madrid, Comunidad de",Castilla y León,4539.86
2018,"Madrid, Comunidad de",Cataluña,1982.62
2018,"Madrid, Comunidad de",Comunitat Valenciana,4105.91
2018,"Madrid, Comunidad de",Extremadura,806.66
2018,"Madrid, Comunidad de",Galicia,1577.66
2018,"Madrid, Comunidad de","Madrid, Comunidad de",62338.1
2018,"Madrid, Comunidad de","Murcia, Región de",788.21
2018,"Madrid, Comunidad de","Navarra, Comunidad Foral de",420.47
2018,"Madrid, Comunidad de",País Vasco,1369.21
2018,"Madrid, Comunidad de","Rioja, La",315.47
2018,"Murcia, Región de",Andalucía,5211.3
2018,"Murcia, Región de",Aragón,344.39
2018,"Murcia, Región de","Asturias, Principado de",56.81
2018,"Murcia, Región de",Cantabria,30.75
2018,"Murcia, Región de",Castilla - La Mancha,2828.31
2018,"Murcia, Región de",Castilla y León,300.13
2018,"Murcia, Región de",Cataluña,1227.64
2018,"Murcia, Región de",Comunitat Valenciana,8900.6
2018,"Murcia, Región de",Extremadura,192.33
2018,"Murcia, Región de",Galicia,112.71
2018,"Murcia, Región de","Madrid, Comunidad de",1347.83
2018,"Murcia, Región de","Murcia, Región de",40666.36
2018,"Murcia, Región de","Navarra, Comunidad Foral de",108.88
2018,"Murcia, Región de",País Vasco,129.9
2018,"Murcia, Región de","Rioja, La",47.47
2018,"Navarra, Comunidad Foral de",Andalucía,318.24
2018,"Navarra, Comunidad Foral de",Aragón,2767.71
2018,"Navarra, Comunidad Foral de","Asturias, Principado de",57.28
2018,"Navarra, Comunidad Foral de",Cantabria,186.1
2018,"Navarra, Comunidad Foral de",Castilla - La Mancha,472.13
2018,"Navarra, Comunidad Foral de",Castilla y León,1598.06
2018,"Navarra, Comunidad Foral de",Cataluña,1083.14
2018,"Navarra, Comunidad Foral de",Comunitat Valenciana,727.33
2018,"Navarra, Comunidad Foral de",Extremadura,14.3
2018,"Navarra, Comunidad Foral de",Galicia,292.88
2018,"Navarra, Comunidad Foral de","Madrid, Comunidad de",882.45
2018,"Navarra, Comunidad Foral de","Murcia, Región de",103.26
2018,"Navarra, Comunidad Foral de","Navarra, Comunidad Foral de",15002.6
2018,"Navarra, Comunidad Foral de",País Vasco,4136.61
2018,"Navarra, Comunidad Foral de","Rioja, La",1701.74
2018,País Vasco,Andalucía,597.47
2018,País Vasco,Aragón,1661.41
2018,País Vasco,"Asturias, Principado de",859.7
2018,País Vasco,Cantabria,2128.64
2018,País Vasco,Castilla - La Mancha,757.29
2018,País Vasco,Castilla y León,4298.81
2018,País Vasco,Cataluña,1692.18
2018,País Vasco,Comunitat Valenciana,1188.63
2018,País Vasco,Extremadura,63.64
2018,País Vasco,Galicia,1048.63
2018,País Vasco,"Madrid, Comunidad de",1703.43
2018,País Vasco,"Murcia, Región de",218.13
2018,País Vasco,"Navarra, Comunidad Foral de",4104.58
2018,País Vasco,País Vasco,44489.91
2018,País Vasco,"Rioja, La",1102.56
2018,"Rioja, La",Andalucía,224.61
2018,"Rioja, La",Aragón,614.94
2018,"Rioja, La","Asturias, Principado de",37.83
2018,"Rioja, La",Cantabria,146.54
2018,"Rioja, La",Castilla - La Mancha,255.7
2018,"Rioja, La",Castilla y León,637.91
2018,"Rioja, La",Cataluña,471.12
2018,"Rioja, La",Comunitat Valenciana,365.0
2018,"Rioja, La",Extremadura,
2018,"Rioja, La",Galicia,170.02
2018,"Rioja, La","Madrid, Comunidad de",437.98
2018,"Rioja, La","Murcia, Región de",72.35
2018,"Rioja, La","Navarra, Comunidad Foral de",1171.9
2018,"Rioja, La",País Vasco,1357.56
